設立別,學校所在地別,畢業生人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數,正在接受職業訓練比率,正在軍中服役比率,需要工作而未找到比率,補習或準備升學比率,健康不良在家休養比率,準備出國比率,其他比率
縣市立,桃園市,7512,5,7,22,61,2,3,17,0.07,0.09,0.29,0.81,0.03,0.04,0.23
縣市立,臺中市,11614,23,54,54,118,12,2,11,0.2,0.46,0.46,1.02,0.1,0.02,0.09
縣市立,臺南市,534,1,0,0,5,1,0,0,0.19,0,0,0.94,0.19,0,0
縣市立,高雄市,9460,22,22,20,172,1,2,15,0.23,0.23,0.21,1.82,0.01,0.02,0.16
縣市立,宜蘭縣,75,0,0,1,4,0,0,0,0,0,1.33,5.33,0,0,0
縣市立,新竹縣,444,0,5,0,11,0,0,0,0,1.13,0,2.48,0,0,0
縣市立,苗栗縣,544,0,2,1,0,0,0,2,0,0.37,0.18,0,0,0,0.37
縣市立,彰化縣,796,0,8,0,2,1,0,0,0,1.01,0,0.25,0.13,0,0
縣市立,南投縣,223,0,0,0,3,0,0,0,0,0,0,1.35,0,0,0
縣市立,雲林縣,382,0,11,0,3,1,0,0,0,2.88,0,0.79,0.26,0,0
縣市立,嘉義縣,296,0,7,3,4,0,0,0,0,2.36,1.01,1.35,0,0,0
縣市立,屏東縣,585,0,0,3,3,0,0,0,0,0,0.51,0.51,0,0,0
縣市立,臺東縣,22,0,0,4,0,0,0,0,0,0,18.18,0,0,0,0
縣市立,花蓮縣,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,澎湖縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,基隆市,291,0,1,6,3,0,1,0,0,0.34,2.06,1.03,0,0.34,0
縣市立,新竹市,898,0,2,1,19,0,1,0,0,0.22,0.11,2.12,0,0.11,0
縣市立,嘉義市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,金門縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,連江縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,新北市,9616,14,69,256,54,21,12,65,0.15,0.72,2.66,0.56,0.22,0.12,0.68
私立,臺北市,8405,41,72,86,64,26,26,17,0.49,0.86,1.02,0.76,0.31,0.31,0.2
私立,桃園市,11638,25,135,382,63,23,14,101,0.21,1.16,3.28,0.54,0.2,0.12,0.87
私立,臺中市,13940,24,118,216,106,14,19,28,0.17,0.85,1.55,0.76,0.1,0.14,0.2
私立,臺南市,5549,23,43,95,100,8,0,36,0.41,0.77,1.71,1.8,0.14,0,0.65
私立,高雄市,9019,52,120,288,77,30,16,42,0.58,1.33,3.19,0.85,0.33,0.18,0.47
私立,宜蘭縣,355,0,0,0,1,0,0,0,0,0,0,0.28,0,0,0
私立,新竹縣,1916,0,30,41,9,10,1,7,0,1.57,2.14,0.47,0.52,0.05,0.37
私立,苗栗縣,1394,12,10,33,2,4,0,5,0.86,0.72,2.37,0.14,0.29,0,0.36
私立,彰化縣,2545,4,30,113,10,8,1,11,0.16,1.18,4.44,0.39,0.31,0.04,0.43
私立,南投縣,767,1,49,31,3,1,0,10,0.13,6.39,4.04,0.39,0.13,0,1.3
私立,雲林縣,2061,6,33,78,10,2,1,13,0.29,1.6,3.78,0.49,0.1,0.05,0.63
私立,嘉義縣,1522,4,6,99,9,2,3,9,0.26,0.39,6.5,0.59,0.13,0.2,0.59
私立,屏東縣,1244,1,19,91,14,7,0,15,0.08,1.53,7.32,1.13,0.56,0,1.21
私立,臺東縣,262,7,1,2,5,0,0,2,2.67,0.38,0.76,1.91,0,0,0.76
私立,花蓮縣,974,16,23,4,7,4,0,23,1.64,2.36,0.41,0.72,0.41,0,2.36
私立,澎湖縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,基隆市,907,0,8,10,3,0,1,3,0,0.88,1.1,0.33,0,0.11,0.33
私立,新竹市,2451,3,25,40,8,1,2,2,0.12,1.02,1.63,0.33,0.04,0.08,0.08
私立,嘉義市,1927,2,16,137,39,7,0,56,0.1,0.83,7.11,2.02,0.36,0,2.91
私立,金門縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,連江縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
