設立別,學校所在地別,畢業生人數,農_林_漁_牧業人數,礦業及土石採取業人數,製造業人數,電力及燃氣供應業人數,用水供應及污染整治業人數,營建工程業人數,批發及零售業人數,運輸及倉儲業人數,住宿及餐飲業人數,出版影音及資通訊業人數,金融及保險業人數,不動產業人數,專業_科學及技術服務業人數,支援服務業人數,公共行政及國防；強制性社會安全人數,教育業人數,醫療保健及社會工作服務業人數,藝術_娛樂及休閒服務業人數,其他服務業人數,就業率,農_林_漁_牧業比率,礦業及土石採取業比率,製造業比率,電力及燃氣供應業比率,用水供應及污染整治業比率,營建工程業比率,批發及零售業比率,運輸及倉儲業比率,住宿及餐飲業比率,出版影音及資通訊業比率,金融及保險業比率,不動產業比率,專業_科學及技術服務業比率,支援服務業比率,公共行政及國防；強制性社會安全比率,教育業比率,醫療保健及社會工作服務業比率,藝術_娛樂及休閒服務業比率,其他服務業比率
國立,南投縣,2679,30,0,30,6,1,16,20,3,66,0,1,0,7,20,64,1,6,6,16,10.94,1.12,0,1.12,0.22,0.04,0.6,0.75,0.11,2.46,0,0.04,0,0.26,0.75,2.39,0.04,0.22,0.22,0.6
國立,雲林縣,2930,47,0,19,5,0,16,25,7,34,1,3,0,18,3,35,0,3,6,24,8.4,1.6,0,0.65,0.17,0,0.55,0.85,0.24,1.16,0.03,0.1,0,0.61,0.1,1.19,0,0.1,0.2,0.82
國立,嘉義縣,819,12,0,18,1,0,5,4,2,8,0,0,1,7,14,32,1,1,0,13,14.53,1.47,0,2.2,0.12,0,0.61,0.49,0.24,0.98,0,0,0.12,0.85,1.71,3.91,0.12,0.12,0,1.59
國立,屏東縣,3244,40,1,59,6,1,33,22,9,120,0,2,0,14,31,118,2,0,7,43,15.66,1.23,0.03,1.82,0.18,0.03,1.02,0.68,0.28,3.7,0,0.06,0,0.43,0.96,3.64,0.06,0,0.22,1.33
國立,臺東縣,1186,6,0,11,6,0,27,12,3,38,1,1,0,0,12,73,0,4,4,22,18.55,0.51,0,0.93,0.51,0,2.28,1.01,0.25,3.2,0.08,0.08,0,0,1.01,6.16,0,0.34,0.34,1.85
國立,花蓮縣,1561,7,0,14,9,1,11,13,0,53,2,1,1,26,6,68,0,2,3,11,14.61,0.45,0,0.9,0.58,0.06,0.7,0.83,0,3.4,0.13,0.06,0.06,1.67,0.38,4.36,0,0.13,0.19,0.7
國立,澎湖縣,651,5,0,4,3,0,7,4,16,12,0,0,0,1,5,64,0,0,2,8,20.12,0.77,0,0.61,0.46,0,1.08,0.61,2.46,1.84,0,0,0,0.15,0.77,9.83,0,0,0.31,1.23
國立,基隆市,1162,0,0,3,0,0,2,0,9,10,0,0,0,1,0,5,0,3,10,10,4.56,0,0,0.26,0,0,0.17,0,0.77,0.86,0,0,0,0.09,0,0.43,0,0.26,0.86,0.86
國立,新竹市,2555,0,0,18,0,0,4,1,2,5,0,0,0,3,1,2,0,0,2,12,1.96,0,0,0.7,0,0,0.16,0.04,0.08,0.2,0,0,0,0.12,0.04,0.08,0,0,0.08,0.47
國立,嘉義市,3327,1,0,9,4,0,6,7,0,31,0,2,1,5,1,29,0,1,1,51,4.48,0.03,0,0.27,0.12,0,0.18,0.21,0,0.93,0,0.06,0.03,0.15,0.03,0.87,0,0.03,0.03,1.53
國立,金門縣,474,1,0,1,2,0,3,3,0,1,1,0,0,1,1,0,0,0,0,7,4.43,0.21,0,0.21,0.42,0,0.63,0.63,0,0.21,0.21,0,0,0.21,0.21,0,0,0,0,1.48
國立,連江縣,96,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.08,0,0,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04
縣市立,新北市,11774,5,0,50,6,3,18,42,14,95,1,9,5,33,48,7,1,1,18,45,3.41,0.04,0,0.42,0.05,0.03,0.15,0.36,0.12,0.81,0.01,0.08,0.04,0.28,0.41,0.06,0.01,0.01,0.15,0.38
縣市立,臺北市,17831,0,0,6,0,3,8,7,5,44,0,0,0,1,18,11,0,10,14,19,0.82,0,0,0.03,0,0.02,0.04,0.04,0.03,0.25,0,0,0,0.01,0.1,0.06,0,0.06,0.08,0.11
縣市立,桃園市,7512,2,0,9,1,0,1,10,2,31,0,0,0,0,9,14,1,0,11,40,1.74,0.03,0,0.12,0.01,0,0.01,0.13,0.03,0.41,0,0,0,0,0.12,0.19,0.01,0,0.15,0.53
縣市立,臺中市,11614,10,1,105,23,0,21,28,9,59,2,4,3,53,45,56,1,5,21,42,4.2,0.09,0.01,0.9,0.2,0,0.18,0.24,0.08,0.51,0.02,0.03,0.03,0.46,0.39,0.48,0.01,0.04,0.18,0.36
縣市立,臺南市,534,0,0,1,0,0,1,0,0,2,0,0,0,0,0,7,0,0,1,1,2.43,0,0,0.19,0,0,0.19,0,0,0.37,0,0,0,0,0,1.31,0,0,0.19,0.19
縣市立,高雄市,9460,1,0,58,2,0,12,16,12,42,0,8,6,17,5,40,0,4,23,14,2.75,0.01,0,0.61,0.02,0,0.13,0.17,0.13,0.44,0,0.08,0.06,0.18,0.05,0.42,0,0.04,0.24,0.15
